Coac;Marasbot;Conrisc;AntiSquid;Baseline1;Baseline2;UJIAgent1;UJIAgent2
95.03;47.86;41.86;51.87;25.08;36.88;43.29;57.79
95.01;47.83;41.84;51.83;25.00;36.85;43.29;58.00
95.02;47.95;41.87;51.82;24.92;37.08;43.31;58.02
95.08;47.92;41.74;51.91;24.85;37.01;43.18;57.88
95.10;47.98;41.73;52.02;24.85;36.97;43.16;57.85
95.11;47.91;41.68;52.01;24.77;36.94;43.32;57.91
95.13;47.84;41.63;52.08;24.85;37.13;43.34;58.00
95.18;47.85;41.51;52.02;24.78;37.05;43.32;57.86
95.20;47.91;41.57;52.02;24.78;37.06;43.31;57.84
95.18;47.81;41.56;52.05;24.71;36.98;43.49;57.89
95.15;47.85;41.69;52.11;24.78;36.95;43.55;57.91
95.17;47.78;41.57;52.16;24.75;36.92;43.46;57.78
95.15;47.81;41.59;52.19;24.67;36.92;43.48;57.86
95.16;47.82;41.51;52.15;24.64;36.92;43.55;57.92
95.18;47.82;41.61;52.21;24.75;36.89;43.54;58.00
95.13;47.83;41.60;52.05;24.75;36.86;43.41;57.98
95.07;48.10;41.55;51.97;24.72;36.93;43.36;57.99
95.08;48.10;41.50;51.97;24.65;36.90;43.50;57.97
95.10;48.11;41.56;52.03;24.61;37.01;43.56;58.02
95.08;48.01;41.48;52.04;24.62;36.98;43.44;57.96
95.10;48.20;41.40;52.00;24.58;36.98;43.49;57.94
95.11;48.21;41.43;51.93;24.55;36.94;43.42;58.09
95.12;48.21;41.48;51.85;24.59;37.09;43.51;58.14
95.18;48.15;41.37;51.94;24.55;36.99;43.42;58.01
95.16;48.24;41.53;51.93;24.52;36.95;43.37;57.99
95.14;48.18;41.59;51.96;24.49;36.99;43.31;58.04
95.15;48.18;41.61;51.95;24.53;37.20;43.36;58.02
95.10;48.12;41.57;51.90;24.50;37.20;43.28;57.96
95.11;48.07;41.52;51.89;24.53;37.30;43.23;58.04
95.13;48.11;41.48;51.89;24.47;37.33;43.17;58.12
95.14;48.15;41.53;51.92;24.57;37.27;43.22;58.20
95.16;48.09;41.46;51.93;24.51;37.27;43.11;58.11
95.17;48.07;41.48;51.93;24.57;37.27;43.09;58.13
95.15;47.98;41.41;51.99;24.51;37.27;43.29;58.11
95.13;47.99;41.53;52.01;24.45;37.50;43.31;58.08
95.15;47.93;41.45;52.02;24.42;37.44;43.20;58.03
95.16;48.14;41.60;51.92;24.39;37.47;43.09;57.95
95.17;48.15;41.59;51.95;24.32;37.44;43.16;57.93
95.15;48.25;41.65;51.98;24.33;37.47;43.21;57.97
95.11;48.19;41.54;52.05;24.30;37.47;43.10;57.89
95.12;48.36;41.56;51.98;24.27;37.47;43.05;57.90
95.13;48.40;41.52;51.95;24.24;37.41;43.12;57.95
95.14;48.46;41.57;51.88;24.40;37.47;43.14;57.93
95.19;48.41;41.50;51.83;24.41;37.47;43.03;57.81
95.20;48.55;41.52;51.83;24.35;37.53;42.96;57.79
95.22;48.52;41.54;51.82;24.28;37.53;43.02;57.78
95.23;48.52;41.59;51.88;24.29;37.62;43.10;57.76
95.27;48.53;41.55;51.77;24.23;37.56;43.06;57.68
95.29;48.60;41.48;51.79;24.23;37.62;43.01;57.69
95.27;48.70;41.47;51.79;24.24;37.62;42.99;57.65
95.28;48.73;41.53;51.79;24.52;37.53;43.01;57.63
95.29;48.67;41.46;51.77;24.49;37.47;43.00;57.52
95.25;48.68;41.60;51.79;24.52;37.47;42.95;57.47
95.26;48.66;41.56;51.82;24.46;37.53;43.02;57.43
95.27;48.69;41.67;51.85;24.40;37.65;43.10;57.38
95.31;48.63;41.57;51.83;24.38;37.62;42.99;57.33
95.32;48.76;41.62;51.88;24.38;37.59;42.92;57.26
95.31;48.71;41.70;51.82;24.32;37.53;42.99;57.37
95.32;48.80;41.66;51.84;24.39;37.62;42.97;57.41
95.36;48.74;41.65;51.83;24.36;37.53;42.90;57.30
95.34;48.76;41.75;51.85;24.36;37.47;42.92;57.28
