Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness
 11.61; 17.11; 78.63; 74.70; 60.00; 57.95
 11.60; 17.16; 78.64; 74.60; 59.96; 58.04
 11.55; 17.17; 78.65; 74.58; 60.00; 58.05
 11.55; 17.18; 78.69; 74.56; 59.92; 58.10
 11.54; 17.23; 78.74; 74.55; 59.88; 58.06
 11.57; 17.17; 78.74; 74.53; 59.92; 58.07
 11.57; 17.18; 78.75; 74.51; 59.96; 58.04
 11.56; 17.15; 78.75; 74.45; 60.00; 58.09
 11.56; 17.16; 78.79; 74.47; 60.04; 57.98
 11.59; 17.25; 78.72; 74.42; 59.96; 58.06
 11.62; 17.18; 78.76; 74.40; 59.92; 58.11
 11.62; 17.15; 78.77; 74.35; 59.92; 58.19
 11.57; 17.20; 78.77; 74.33; 60.00; 58.12
 11.60; 17.14; 78.82; 74.24; 60.00; 58.21
 11.56; 17.15; 78.86; 74.26; 60.00; 58.17
 11.55; 17.12; 78.83; 74.28; 60.04; 58.18
 11.55; 17.13; 78.83; 74.23; 60.08; 58.19
 11.54; 17.14; 78.83; 74.17; 60.08; 58.23
 11.57; 17.08; 78.88; 74.19; 60.04; 58.24
 11.53; 17.13; 78.84; 74.18; 60.04; 58.28
 11.49; 17.17; 78.81; 74.24; 60.00; 58.29
 11.52; 17.19; 78.78; 74.22; 59.96; 58.33
 11.48; 17.20; 78.78; 74.21; 59.96; 58.38
 11.43; 17.28; 78.75; 74.19; 59.96; 58.38
 11.43; 17.25; 78.75; 74.18; 60.00; 58.39
 11.42; 17.26; 78.80; 74.12; 60.00; 58.39
 11.38; 17.27; 78.84; 74.07; 59.96; 58.47
 11.41; 17.21; 78.88; 74.06; 59.93; 58.51
 11.41; 17.18; 78.88; 74.08; 59.93; 58.52
 11.44; 17.12; 78.85; 74.10; 59.96; 58.53
 11.43; 17.10; 78.85; 74.19; 59.96; 58.46
 11.43; 17.11; 78.89; 74.14; 59.93; 58.50
 11.49; 17.05; 78.97; 74.02; 59.89; 58.58
 11.45; 17.09; 78.94; 73.97; 60.00; 58.55
 11.45; 17.14; 78.90; 73.92; 60.00; 58.59
 11.41; 17.18; 78.94; 73.91; 59.96; 58.59
 11.47; 17.12; 78.98; 73.82; 59.96; 58.63
 11.47; 17.10; 78.99; 73.81; 59.97; 58.67
 11.50; 17.07; 78.92; 73.83; 60.03; 58.64
 11.56; 17.01; 78.89; 73.89; 59.97; 58.68
 11.63; 16.99; 78.93; 73.84; 59.90; 58.72
 11.62; 16.97; 78.93; 73.83; 59.90; 58.76
 11.65; 16.94; 78.97; 73.85; 59.83; 58.76
 11.68; 16.99; 79.01; 73.87; 59.69; 58.77
 11.74; 16.93; 79.08; 73.86; 59.59; 58.81
 11.70; 16.97; 79.12; 73.78; 59.56; 58.88
 11.76; 16.98; 79.12; 73.76; 59.56; 58.81
 11.79; 16.96; 79.16; 73.75; 59.53; 58.82
 11.82; 16.94; 79.23; 73.70; 59.46; 58.86
 11.81; 16.91; 79.26; 73.72; 59.43; 58.86
 11.87; 16.86; 79.26; 73.71; 59.40; 58.90
 11.87; 16.87; 79.30; 73.73; 59.30; 58.93
 11.89; 16.84; 79.34; 73.72; 59.27; 58.94
 11.89; 16.85; 79.40; 73.68; 59.27; 58.91
 11.88; 16.83; 79.41; 73.66; 59.34; 58.88
 11.88; 16.88; 79.44; 73.59; 59.28; 58.95
 11.90; 16.85; 79.48; 73.51; 59.25; 59.02
 11.86; 16.86; 79.51; 73.46; 59.25; 59.05
 11.89; 16.84; 79.54; 73.39; 59.22; 59.12
 11.88; 16.82; 79.58; 73.34; 59.22; 59.16
 11.88; 16.80; 79.61; 73.27; 59.22; 59.22
 11.90; 16.81; 79.61; 73.26; 59.16; 59.26
 11.93; 16.75; 79.65; 73.31; 59.10; 59.26
 11.96; 16.73; 79.62; 73.27; 59.17; 59.26
 11.95; 16.74; 79.65; 73.19; 59.17; 59.30
 11.91; 16.75; 79.68; 73.22; 59.14; 59.30
 11.94; 16.73; 79.68; 73.21; 59.08; 59.37
 11.93; 16.71; 79.72; 73.23; 59.05; 59.37
 11.96; 16.66; 79.78; 73.12; 59.05; 59.43
 11.98; 16.60; 79.84; 73.05; 59.03; 59.50
 12.01; 16.61; 79.87; 73.01; 58.97; 59.53
 12.03; 16.62; 79.91; 72.97; 58.91; 59.56
 12.06; 16.60; 79.97; 72.90; 58.88; 59.60
