AntiSquid;Baseline1;Baseline2;Chad;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;ReinforcedGreediness;UJIAgent1;UJIAgent2;UJIAgent3
 45.73; 22.41; 27.10; 78.71; 82.39; 33.82; 42.65; 56.27; 60.75; 62.00; 41.56; 54.27; 42.35
 45.59; 22.40; 27.05; 78.72; 82.43; 33.85; 42.53; 56.28; 60.73; 62.07; 41.53; 54.41; 42.41
 45.56; 22.42; 27.13; 78.72; 82.30; 33.92; 42.53; 56.16; 60.54; 62.11; 41.63; 54.55; 42.44
 45.63; 22.61; 27.08; 78.79; 82.24; 33.88; 42.52; 56.11; 60.48; 62.11; 41.77; 54.47; 42.30
 45.46; 22.63; 26.93; 78.79; 82.32; 33.74; 42.55; 56.30; 60.54; 62.08; 41.73; 54.61; 42.32
 45.53; 22.58; 26.95; 78.83; 82.46; 33.60; 42.54; 56.45; 60.42; 61.98; 41.77; 54.70; 42.18
 45.50; 22.60; 26.83; 78.83; 82.53; 33.53; 42.53; 56.67; 60.50; 61.92; 41.63; 54.67; 42.25
 45.47; 22.62; 26.85; 78.87; 82.64; 33.37; 42.49; 56.71; 60.65; 61.93; 41.47; 54.70; 42.24
 45.57; 22.60; 26.80; 78.84; 82.64; 33.46; 42.52; 56.63; 60.63; 61.86; 41.47; 54.69; 42.27
 45.64; 22.66; 26.95; 78.84; 82.62; 33.56; 42.38; 56.71; 60.61; 61.74; 41.60; 54.65; 42.04
 45.70; 22.67; 26.84; 78.88; 82.66; 33.49; 42.47; 56.62; 60.53; 61.71; 41.67; 54.75; 42.00
 45.61; 22.69; 26.70; 78.81; 82.69; 33.46; 42.40; 56.83; 60.61; 61.72; 41.79; 54.71; 41.97
 45.58; 22.74; 26.62; 78.88; 82.79; 33.49; 42.33; 56.81; 60.59; 61.60; 41.92; 54.71; 41.93
 45.55; 22.79; 26.64; 78.95; 82.83; 33.46; 42.27; 56.76; 60.76; 61.57; 41.73; 54.61; 42.09
 45.52; 22.74; 26.66; 79.01; 82.89; 33.30; 42.04; 56.86; 60.90; 61.58; 41.67; 54.57; 42.24
 45.55; 22.73; 26.65; 78.98; 82.87; 33.24; 41.98; 56.87; 61.04; 61.65; 41.60; 54.54; 42.30
 45.59; 22.72; 26.67; 78.92; 82.90; 33.21; 41.82; 56.98; 61.05; 61.65; 41.76; 54.54; 42.20
 45.62; 22.67; 26.65; 78.92; 82.94; 33.12; 41.88; 57.05; 61.09; 61.66; 41.73; 54.53; 42.14
 45.53; 22.63; 26.61; 78.98; 82.94; 33.06; 42.00; 57.24; 61.07; 61.64; 41.70; 54.50; 42.11
 45.47; 22.61; 26.60; 79.11; 83.03; 33.03; 41.85; 57.31; 61.08; 61.58; 41.70; 54.53; 42.10
 45.47; 22.66; 26.50; 79.14; 83.09; 33.06; 41.79; 57.28; 61.18; 61.53; 41.61; 54.50; 42.19
 45.51; 22.65; 26.49; 79.17; 83.12; 33.01; 41.70; 57.41; 61.21; 61.51; 41.58; 54.46; 42.20
 45.54; 22.67; 26.51; 79.20; 83.22; 33.01; 41.70; 57.48; 60.80; 61.48; 41.55; 54.52; 42.34
 45.54; 22.62; 26.53; 79.28; 83.19; 33.13; 41.61; 57.37; 60.67; 61.58; 41.67; 54.49; 42.34
 45.51; 22.61; 26.66; 79.20; 83.28; 33.07; 41.49; 57.34; 60.57; 61.59; 41.67; 54.55; 42.48
 45.40; 22.66; 26.62; 79.28; 83.19; 33.22; 41.46; 57.47; 60.43; 61.53; 41.67; 54.57; 42.50
 45.46; 22.64; 26.58; 79.37; 83.22; 33.16; 41.38; 57.41; 60.51; 61.54; 41.72; 54.51; 42.50
 45.58; 22.57; 26.48; 79.48; 83.22; 33.13; 41.30; 57.53; 60.49; 61.49; 41.70; 54.54; 42.49
 45.61; 22.70; 26.47; 79.59; 83.16; 33.02; 41.33; 57.51; 60.39; 61.53; 41.67; 54.56; 42.46
 45.72; 22.64; 26.63; 79.67; 83.19; 33.02; 41.30; 57.55; 60.15; 61.50; 41.47; 54.62; 42.54
 45.67; 22.60; 26.57; 79.67; 83.28; 33.05; 41.36; 57.61; 60.06; 61.48; 41.53; 54.64; 42.50
 45.69; 22.56; 26.64; 79.56; 83.33; 33.17; 41.25; 57.69; 59.85; 61.38; 41.67; 54.67; 42.55
 45.64; 22.57; 26.60; 79.58; 83.22; 33.22; 41.31; 57.67; 59.67; 61.47; 41.72; 54.72; 42.60
 45.67; 22.48; 26.67; 79.61; 83.31; 33.20; 41.31; 57.48; 59.80; 61.39; 41.72; 54.63; 42.73
