AntiSquid;Baseline1;Baseline2;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;UJIAgent1;UJIAgent2;UJIAgent3
45.19;22.70;31.52;91.69;35.94;40.25;57.41;90.13;40.45;53.21;40.13
45.20;22.68;31.44;91.71;35.94;40.19;57.43;90.10;40.47;53.48;40.00
45.17;22.76;31.49;91.73;35.85;40.22;57.41;90.08;40.49;53.56;40.23
45.19;22.81;31.57;91.74;35.84;40.37;57.48;90.06;40.56;53.68;40.30
45.15;22.83;31.96;91.76;35.79;40.39;57.42;90.08;40.58;53.67;40.33
44.95;22.94;31.96;91.79;35.79;40.46;57.52;90.11;40.65;53.57;40.27
44.92;22.89;31.88;91.85;35.70;40.36;57.38;89.98;40.55;53.44;40.17
44.88;22.83;31.80;91.71;35.62;40.26;57.24;90.01;40.45;53.39;40.11
44.97;22.85;31.77;91.69;35.67;40.32;57.22;90.03;40.47;53.38;40.21
44.91;22.84;31.84;91.67;35.67;40.55;57.16;90.06;40.49;53.37;40.24
44.92;22.82;31.78;91.69;35.66;40.58;57.04;90.08;40.48;53.28;40.30
44.89;22.81;31.77;91.71;35.66;40.60;57.01;90.10;40.76;53.19;40.29
44.82;22.77;31.74;91.69;35.65;40.66;56.99;90.13;40.77;53.29;40.23
Invalid format at line 15097
44.83;22.73;31.66;91.67;35.61;40.69;56.98;90.11;40.75;53.43;40.42
44.89;22.69;31.70;91.69;35.72;40.83;57.00;90.06;40.81;53.54;40.57
45.02;22.75;31.69;91.71;35.79;40.85;57.06;90.04;40.75;53.61;40.58
44.87;22.82;31.71;91.69;35.83;40.87;57.09;90.06;40.74;53.64;40.63
44.99;22.84;31.67;91.63;35.74;40.77;56.95;90.01;40.64;53.52;40.61
44.89;22.79;31.60;91.63;35.66;40.68;56.82;89.97;40.58;53.43;40.51
44.90;22.73;31.56;91.65;35.68;40.66;56.84;89.99;40.57;53.43;40.42
44.91;22.76;31.56;91.67;35.75;40.64;56.90;89.98;40.55;53.50;40.44
44.88;22.75;31.53;91.69;35.75;40.86;56.73;90.00;40.56;53.49;40.42
44.89;22.73;31.46;91.70;35.70;40.88;56.92;89.98;40.59;53.48;40.37
44.83;22.76;31.46;91.65;35.62;40.90;56.98;89.97;40.71;53.46;40.39
44.77;22.74;31.39;91.63;35.65;40.88;57.01;89.95;40.66;53.81;40.35
44.82;22.68;31.47;91.65;35.73;40.98;57.03;89.94;40.72;53.88;40.37
44.90;22.82;31.38;91.67;35.76;41.04;57.10;89.89;40.77;53.91;40.46
44.87;22.80;31.55;91.69;35.68;41.01;57.08;89.91;40.80;53.94;40.56
44.95;22.86;31.59;91.64;35.60;40.95;57.11;89.82;40.78;53.85;40.58
44.85;22.81;31.52;91.59;35.52;40.89;56.98;89.74;40.69;53.77;40.57
44.90;22.76;31.45;91.61;35.39;40.80;56.92;89.77;40.59;53.69;40.47
44.99;22.79;31.38;91.59;35.66;40.70;56.91;89.76;40.62;53.75;40.50
44.92;22.73;31.42;91.61;35.65;41.02;56.73;89.78;40.64;53.67;40.52
44.90;22.72;31.35;91.63;35.64;40.97;57.11;89.76;40.56;53.62;40.43
44.95;22.67;31.36;91.61;35.71;40.95;57.09;89.74;40.86;53.45;40.45
44.99;22.62;31.29;91.63;35.67;40.97;57.08;89.75;40.85;53.76;40.25
44.97;22.67;31.22;91.61;35.70;41.03;57.06;89.74;40.83;53.71;40.60
44.98;22.66;31.24;91.62;35.77;41.16;57.15;89.76;40.96;53.74;40.62
44.98;22.83;31.16;91.63;35.83;41.10;57.25;89.78;40.94;53.80;40.68
