AdvancedAvocadoAgent;Ag2O;Baseline1;Baseline2;ByteRL;Chad;Coac;DrainPower;DrainPowerAggressive;LANE\\_1\\_0;OneLaneIsEnough;ReinforcedGreediness
 19.96; 17.78; 21.05; 22.15; 94.58; 67.20; 67.64; 74.65; 75.05; 35.31; 53.85; 50.76
 19.99; 17.86; 21.03; 22.11; 94.62; 67.17; 67.60; 74.75; 75.04; 35.32; 53.86; 50.65
 19.94; 17.86; 21.01; 22.23; 94.67; 67.11; 67.68; 74.80; 75.02; 35.36; 53.79; 50.54
 20.03; 17.97; 20.99; 22.12; 94.71; 67.08; 67.61; 74.75; 74.93; 35.40; 53.84; 50.57
 20.05; 17.94; 20.97; 22.20; 94.75; 67.09; 67.62; 74.77; 74.88; 35.31; 53.88; 50.56
 20.10; 17.94; 20.94; 22.13; 94.76; 67.06; 67.55; 74.83; 74.93; 35.24; 53.95; 50.56
 20.06; 17.83; 21.03; 22.17; 94.80; 67.18; 67.52; 74.88; 74.91; 35.15; 53.89; 50.59
 20.11; 17.87; 20.94; 22.14; 94.80; 67.15; 67.53; 75.00; 74.90; 35.16; 53.93; 50.48
 20.06; 17.74; 21.09; 22.11; 94.84; 67.22; 67.53; 74.95; 74.88; 35.24; 53.86; 50.48
 20.08; 17.77; 21.07; 22.05; 94.84; 67.10; 67.57; 75.00; 74.80; 35.35; 53.93; 50.44
 20.10; 17.71; 21.14; 22.12; 94.88; 67.07; 67.47; 74.98; 74.75; 35.35; 54.07; 50.34
 20.09; 17.78; 21.12; 22.09; 94.79; 67.01; 67.55; 74.97; 74.73; 35.39; 54.14; 50.33
 20.07; 17.75; 21.10; 22.10; 94.79; 66.99; 67.52; 75.02; 74.72; 35.50; 54.08; 50.36
 20.13; 17.72; 21.05; 22.10; 94.73; 66.90; 67.56; 75.03; 74.80; 35.54; 54.02; 50.43
 20.08; 17.66; 21.16; 22.01; 94.77; 66.87; 67.53; 75.08; 74.82; 35.61; 53.96; 50.46
 20.10; 17.60; 21.14; 22.05; 94.71; 66.85; 67.47; 75.06; 74.84; 35.75; 53.96; 50.49
 20.08; 17.57; 21.28; 22.02; 94.71; 66.86; 67.44; 75.08; 74.89; 35.69; 54.00; 50.39
 20.10; 17.54; 21.22; 22.06; 94.75; 66.93; 67.35; 75.03; 74.81; 35.66; 54.10; 50.45
 20.03; 17.64; 21.20; 22.06; 94.72; 66.94; 67.39; 75.11; 74.86; 35.57; 54.13; 50.35
 20.11; 17.61; 21.21; 22.00; 94.73; 66.95; 67.33; 75.06; 74.81; 35.64; 54.10; 50.44
 20.03; 17.65; 21.19; 22.10; 94.73; 66.93; 67.37; 75.08; 74.83; 35.64; 54.04; 50.41
 20.11; 17.62; 21.11; 22.23; 94.71; 66.97; 67.28; 75.00; 74.78; 35.55; 54.14; 50.50
 20.16; 17.53; 21.18; 22.23; 94.71; 66.98; 67.32; 75.05; 74.83; 35.47; 54.08; 50.46
 20.06; 17.57; 21.13; 22.27; 94.72; 66.95; 67.35; 75.00; 74.75; 35.50; 54.18; 50.52
 20.04; 17.63; 21.17; 22.24; 94.72; 66.87; 67.39; 75.02; 74.86; 35.42; 54.15; 50.49
 20.06; 17.61; 21.18; 22.24; 94.76; 66.94; 67.24; 74.97; 74.88; 35.39; 54.15; 50.58
 20.11; 17.67; 21.28; 22.19; 94.79; 66.98; 67.19; 75.02; 74.89; 35.34; 54.09; 50.45
 20.07; 17.76; 21.26; 22.22; 94.80; 67.05; 67.11; 74.94; 74.85; 35.44; 53.98; 50.54
 20.11; 17.83; 21.33; 22.19; 94.77; 67.05; 67.11; 74.99; 74.96; 35.26; 53.89; 50.51
 20.13; 17.77; 21.31; 22.26; 94.78; 67.09; 67.06; 74.88; 74.82; 35.30; 53.96; 50.65
 20.15; 17.77; 21.35; 22.20; 94.78; 67.10; 67.04; 74.96; 74.87; 35.19; 53.96; 50.65
 20.08; 17.72; 21.36; 22.32; 94.78; 67.19; 66.87; 74.91; 74.83; 35.17; 53.96; 50.82
 20.09; 17.72; 21.34; 22.29; 94.73; 67.14; 66.94; 74.99; 74.93; 35.12; 53.88; 50.84
 20.05; 17.72; 21.32; 22.27; 94.71; 67.20; 66.83; 74.94; 74.86; 35.21; 53.91; 50.98
 20.04; 17.81; 21.27; 22.18; 94.71; 67.24; 66.78; 74.96; 74.93; 35.19; 53.95; 50.94
 20.00; 17.78; 21.28; 22.27; 94.69; 67.33; 66.62; 74.94; 74.80; 35.17; 54.03; 51.08
 20.05; 17.73; 21.23; 22.25; 94.66; 67.42; 66.63; 75.01; 74.79; 35.18; 53.95; 51.10
 20.03; 17.73; 21.24; 22.25; 94.67; 67.54; 66.72; 74.97; 74.72; 35.10; 53.87; 51.15
 20.02; 17.82; 21.19; 22.20; 94.65; 67.57; 66.68; 74.96; 74.79; 35.11; 53.82; 51.20
 20.01; 17.85; 21.29; 22.12; 94.65; 67.63; 66.60; 75.00; 74.78; 35.09; 53.82; 51.16
 20.08; 17.91; 21.18; 22.04; 94.66; 67.69; 66.58; 75.04; 74.77; 35.10; 53.77; 51.18
 20.04; 17.91; 21.25; 21.99; 94.69; 67.72; 66.54; 75.03; 74.78; 34.99; 53.83; 51.23
 20.09; 17.96; 21.18; 21.94; 94.61; 67.83; 66.52; 75.10; 74.82; 34.98; 53.78; 51.20
 20.08; 17.91; 21.27; 21.97; 94.51; 67.83; 66.50; 75.16; 74.86; 34.90; 53.90; 51.11
 20.09; 17.89; 21.27; 21.95; 94.54; 67.86; 66.49; 75.20; 74.91; 34.88; 53.90; 51.02
 20.11; 17.83; 21.34; 21.90; 94.49; 67.97; 66.55; 75.16; 74.92; 34.76; 53.93; 51.04
 20.23; 17.78; 21.29; 21.82; 94.50; 68.02; 66.59; 75.17; 74.93; 34.74; 53.91; 51.01
 20.24; 17.73; 21.33; 21.75; 94.48; 68.02; 66.65; 75.24; 74.97; 34.70; 53.94; 50.95
 20.26; 17.71; 21.31; 21.68; 94.48; 68.02; 66.66; 75.25; 75.04; 34.73; 53.94; 50.92
 20.27; 17.63; 21.34; 21.66; 94.38; 68.03; 66.72; 75.24; 75.10; 34.67; 54.08; 50.89
 20.34; 17.66; 21.25; 21.64; 94.36; 68.13; 66.62; 75.25; 75.14; 34.65; 54.08; 50.88
 20.35; 17.67; 21.26; 21.67; 94.34; 68.18; 66.61; 75.18; 75.23; 34.53; 54.11; 50.88
 20.49; 17.64; 21.19; 21.62; 94.38; 68.18; 66.56; 75.22; 75.27; 34.54; 54.03; 50.87
 20.48; 17.65; 21.20; 21.60; 94.36; 68.21; 66.52; 75.28; 75.31; 34.53; 54.06; 50.82
 20.54; 17.62; 21.18; 21.53; 94.36; 68.28; 66.48; 75.19; 75.34; 34.56; 54.06; 50.84
 20.48; 17.55; 21.24; 21.57; 94.34; 68.33; 66.52; 75.25; 75.25; 34.55; 54.07; 50.86
 20.42; 17.50; 21.30; 21.67; 94.37; 68.41; 66.50; 75.21; 75.26; 34.53; 54.02; 50.80
